"代码","名称","市场","行业分类","分类来源"
"300076","*ST宁视","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300076&sdate=1990-01-01&edate=2026-07-24）"
"300088","长信科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300088&sdate=1990-01-01&edate=2026-07-24）"
"300098","高新兴","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300098&sdate=1990-01-01&edate=2026-07-24）"
"300102","乾照光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300102&sdate=1990-01-01&edate=2026-07-24）"
"300120","经纬辉开","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300120&sdate=1990-01-01&edate=2026-07-24）"
"300134","大富科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300134&sdate=1990-01-01&edate=2026-07-24）"
"300162","雷曼光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300162&sdate=1990-01-01&edate=2026-07-24）"
"300183","东软载波","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300183&sdate=1990-01-01&edate=2026-07-24）"
"300205","*ST天喻","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300205&sdate=1990-01-01&edate=2026-07-24）"
"300213","佳讯飞鸿","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300213&sdate=1990-01-01&edate=2026-07-24）"
"300219","鸿利智汇","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300219&sdate=1990-01-01&edate=2026-07-24）"
"300232","洲明科技","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300232&sdate=1990-01-01&edate=2026-07-24）"
"300241","瑞丰光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300241&sdate=1990-01-01&edate=2026-07-24）"
"300269","联建光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300269&sdate=1990-01-01&edate=2026-07-24）"
"300296","利亚德","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300296&sdate=1990-01-01&edate=2026-07-24）"
"300301","ST长方","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300301&sdate=1990-01-01&edate=2026-07-24）"
"300303","聚飞光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300303&sdate=1990-01-01&edate=2026-07-24）"
"300308","中际旭创","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300308&sdate=1990-01-01&edate=2026-07-24）"
"300319","麦捷科技","深交所创业板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300319&sdate=1990-01-01&edate=2026-07-24）"
"300323","华灿光电","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300323&sdate=1990-01-01&edate=2026-07-24）"
"300331","苏大维格","深交所创业板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300331&sdate=1990-01-01&edate=2026-07-24）"
"300353","东土科技","深交所创业板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=300353&sdate=1990-01-01&edate=2026-07-24）"
